[30-40),Work-class, 77516, 4, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, 0
[50-60),Work-class, 83311, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 13, United-States, 0
[30-40),Work-class, 215646, 8, 9, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[50-60),Work-class, 234721, 10, 7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 338409, 4, 13, Married-civ-spouse, Prof-specialty, Wife, Black, Female, 0, 0, 40, Cuba, 0
[30-40),Work-class, 284582, 3, 14, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, 0
[40-50),Work-class, 160187, 12, 5, Married-spouse-absent, Other-service, Not-in-family, Black, Female, 0, 0, 16, Jamaica, 0
[50-60),Work-class, 209642, 8, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, 1
[30-40),Work-class, 45781, 3, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 14084, 0, 50, United-States, 1
[40-50),Work-class, 159449, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 5178, 0, 40, United-States, 1
[30-40),Work-class, 280464, 7, 10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 80, United-States, 1
[30-40),Work-class, 141297, 4, 13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 40, India, 1
[20-30),Work-class, 122272, 4, 13, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 30, United-States, 0
[30-40),Work-class, 205019, 6, 12, Never-married, Sales, Not-in-family, Black, Male, 0, 0, 50, United-States, 0
[30-40),Work-class, 245487, 13, 4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male, 0, 0, 45, Mexico, 0
[20-30),Work-class, 176756, 8, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 35, United-States, 0
[30-40),Work-class, 186824, 8, 9, Never-married, Machine-op-inspct, Unmarried, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 28887, 10, 7, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, 0
