63, Federal-gov, Male 4
44, State-gov, Male 23
25, Self-emp-inc, Female 4
17, Local-gov, Male 6
64, Self-emp-inc, Male 12
49, Federal-gov, Female 6
78, Private, Female 3
49, State-gov, Female 10
27, Self-emp-not-inc, Female 4
34, Federal-gov, Male 14
68, Private, Female 24
34, Self-emp-not-inc, Male 58
38, Self-emp-inc, Female 3
27, Local-gov, Male 30
61, State-gov, Female 3
61, Private, Male 126
19, Self-emp-inc, Male 2
48, Federal-gov, Female 5
20, Self-emp-inc, Male 1
20, Local-gov, Female 5
31, Private, Male 459
19, Federal-gov, Male 1
43, Private, Female 141
81, Self-emp-not-inc, Male 2
71, Self-emp-not-inc, Female 2
64, Self-emp-not-inc, Male 24
54, State-gov, Male 9
51, Self-emp-not-inc, Male 56
53, Private, Female 92
20, Federal-gov, Male 4
34, State-gov, Male 23
35, State-gov, Female 14
66, Local-gov, Female 9
19, Local-gov, Female 7
39, Self-emp-not-inc, Male 50
63, Private, Female 42
30, Federal-gov, Female 7
47, Federal-gov, Female 12
32, State-gov, Female 16
63, Local-gov, Female 4
69, Self-emp-not-inc, Male 13
20, Self-emp-not-inc, Female 4
49, Self-emp-not-inc, Female 10
42, Self-emp-not-inc, Female 8
74, Self-emp-inc, Male 4
30, Self-emp-inc, Male 15
58, Private, Female 66
47, Self-emp-inc, Female 1
64, Self-emp-not-inc, Female 3
29, Self-emp-inc, Female 4
19, Private, Male 270
49, Private, Male 237
39, Self-emp-inc, Male 32
47, Self-emp-not-inc, Male 61
79, Private, Male 5
34, Self-emp-not-inc, Female 9
44, Self-emp-inc, Male 34
42, Self-emp-not-inc, Male 77
21, State-gov, Female 18
64, Local-gov, Male 13
64, State-gov, Male 7
90, Private, Female 10
19, Self-emp-not-inc, Female 10
38, Private, Female 172
57, Local-gov, Male 14
59, State-gov, Male 11
73, Private, Female 9
22, Local-gov, Male 8
25, Private, Male 433
70, Private, Female 13
51, Self-emp-inc, Female 5
29, Self-emp-inc, Male 10
43, Self-emp-inc, Female 3
54, Self-emp-inc, Male 21
17, State-gov, Male 2
79, Local-gov, Male 1
73, Self-emp-not-inc, Male 11
23, Private, Female 300
78, Self-emp-not-inc, Male 3
61, State-gov, Male 4
55, Private, Male 172
85, Private, Male 2
17, Self-emp-not-inc, Male 5
37, Local-gov, Male 31
88, Private, Female 1
84, Local-gov, Female 2
18, Private, Female 202
57, Private, Male 140
19, State-gov, Male 13
27, State-gov, Male 21
72, Self-emp-not-inc, Male 7
26, Private, Female 222
28, State-gov, Female 7
59, Federal-gov, Male 9
48, Self-emp-not-inc, Female 10
42, Local-gov, Male 51
24, State-gov, Female 17
34, Local-gov, Male 38
77, Local-gov, Male 2
51, State-gov, Male 16
42, Federal-gov, Male 16
63, Self-emp-not-inc, Female 4
43, Federal-gov, Female 9
52, Self-emp-inc, Female 3
41, Self-emp-not-inc, Female 12
90, Self-emp-not-inc, Male 3
52, Without-pay, Female 1
69, Local-gov, Male 6
44, Local-gov, Male 41
43, State-gov, Female 18
27, Private, Male 416
26, Self-emp-not-inc, Female 8
58, Self-emp-inc, Male 19
52, Local-gov, Male 24
25, Self-emp-inc, Male 7
23, Federal-gov, Male 8
79, Self-emp-inc, Male 3
33, Federal-gov, Female 14
74, Federal-gov, Male 1
57, Self-emp-not-inc, Female 5
21, Self-emp-not-inc, Male 8
43, Self-emp-not-inc, Female 15
62, Private, Male 84
40, Private, Female 184
65, Self-emp-not-inc, Female 2
77, Self-emp-not-inc, Male 4
38, State-gov, Female 16
60, Self-emp-inc, Male 12
56, Self-emp-inc, Female 2
70, Federal-gov, Male 1
50, Self-emp-not-inc, Female 12
71, Federal-gov, Male 2
27, Federal-gov, Male 10
50, Private, Female 99
26, Federal-gov, Male 10
28, Self-emp-not-inc, Female 9
35, Self-emp-not-inc, Female 9
26, Self-emp-not-inc, Male 25
55, Self-emp-inc, Female 4
56, Private, Female 68
57, State-gov, Male 9
47, Local-gov, Male 43
21, Private, Female 252
28, Private, Male 423
58, Federal-gov, Male 10
37, Federal-gov, Male 20
48, Private, Female 122
49, State-gov, Male 20
56, Self-emp-not-inc, Female 12
31, Federal-gov, Male 15
19, Without-pay, Male 2
58, Private, Male 147
32, Private, Male 422
70, Self-emp-not-inc, Female 1
21, State-gov, Male 12
41, Federal-gov, Male 20
30, Self-emp-not-inc, Male 40
29, Without-pay, Male 1
24, State-gov, Male 16
40, Self-emp-inc, Male 28
